央视,#genre#
云南卫视,http://221.2.36.34:8888/newlive/live/hls/27/live.m3u8#https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000#http://tvlive.ynradio.com/live/yunnanweishi/playlist.m3u8#https://live.metshop.top/bestv.php?id=ynwshd8m/8000000#http://221.213.43.82:8888/newlive/live/hls/27/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484#http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8#http://mqiptv.com:8014/ch/custom40/mqlive.m3u8#https://cntv.sbs/tv?auth=2310201855&id=qhws#https://tv.iill.top/cqyx/qinghaiSD
南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
兵团卫视,http://mqiptv.com:8014/ch/custom60/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8#https://live.goodiptv.club/api/cqyx.php?id=bingtuanSD#https://cntv.sbs/tv?auth=2310201855&id=btws#https://tv.iill.top/cqyx/bingtuanSD
延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
厦门卫视,https://cntv.sbs/tv?auth=2310201855&id=xmws
金鹰卡通,http://223.151.51.27:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0#https://live.goodiptv.club/api/cqyx.php?id=jinyingSD#https://tv.iill.top/cqyx/jinyingSD#https://cntv.sbs/tv?auth=2310201855&id=jykt
康巴卫视,https://cntv.sbs/tv?auth=2310201855&id=kbws
西藏卫视,http://lu1.cc/tv/xztv/xzxl.php?id=xzws#http://mqiptv.com:8014/ch/custom33/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8#http://221.2.36.34:8888/newlive/live/hls/37/live.m3u8#https://tv.iill.top/cqyx/xizangSD
三沙卫视,https://cntv.sbs/tv?auth=2310201855&id=ssws#https://tv.iill.top/cqyx/sanshaSD

上海,#genre#
五星体育频道,http://111.40.196.33:443/PLTV/88888888/224/3221225503/1.m3u8#https://live.metshop.top/bestv.php?id=wxtyhd8m/8000000#https://cntv.sbs/tv?auth=2310201855&id=wxty

香港,#genre#
凤凰卫视中文台,http://113.117.74.17:8081/hls/37/index.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8#http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8#http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
凤凰卫视资讯台,http://113.117.74.18:8081/hls/36/index.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8#http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8#http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
凤凰卫视香港台,http://113.117.74.18:8081/hls/38/index.m3u8#http://php.17186.eu.org/phtv/fhhk.m3u8#http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
J2,http://r.jdshipin.com/Nr5jq
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8#http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8#http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
